match_id,tournament_id,tournament_date,score,minutes,winner_id,winner_aces,winner_bp_saved,winner_dfs,loser_id,loser_aces,loser_bp_saved,loser_dfs
1,580,2020-01-20,7-6(6) 6-2,104,202458,5,10,3,201520,2,4,6
2,580,2020-01-20,6-4 6-4,92,213550,0,6,3,202460,5,6,1
3,580,2020-01-20,6-1 6-1,53,201594,5,1,1,204426,0,6,0
4,580,2020-01-20,7-5 6-3,93,202469,6,3,4,201499,4,2,8
5,580,2020-01-20,7-6(6) 7-5,105,213550,2,3,1,202458,8,2,1
6,580,2020-01-20,7-6(8) 7-5,125,202469,10,10,2,201594,2,10,1
7,580,2020-01-20,4-6 6-2 6-2,123,213550,2,10,0,202469,9,1,8
8,520,2020-09-28,6-3 6-1,78,216347,1,7,0,203354,1,5,1
9,520,2020-09-28,6-2 6-4,79,206408,1,5,1,202494,1,5,1
10,520,2020-09-28,6-4 4-6 6-0,124,213550,1,6,4,203389,2,4,8
11,520,2020-09-28,6-3 6-3,80,201520,6,3,4,201696,0,5,3
12,520,2020-09-28,6-2 6-1,70,216347,0,4,0,206408,0,4,0
13,520,2020-09-28,6-4 7-5,105,213550,3,10,3,201520,2,1,1
14,520,2020-09-28,6-4 6-1,84,216347,1,0,3,213550,1,3,3
15,580,2021-02-08,1-6 6-3 6-2,117,214096,2,10,3,202458,3,7,3
16,580,2021-02-08,4-6 6-2 6-1,100,206108,7,6,5,202468,0,3,3
17,580,2021-02-08,6-2 6-2,66,211768,7,3,1,201444,0,8,3
18,580,2021-02-08,6-3 6-3,81,200033,4,1,1,201594,0,7,2
19,580,2021-02-08,6-4 3-6 6-4,115,206108,8,4,2,214096,1,0,2
20,580,2021-02-08,6-3 6-4,75,211768,6,5,8,200033,3,0,1
21,580,2021-02-08,6-4 6-3,77,211768,6,2,2,206108,2,1,4
22,1038,2021-04-29,6-0 3-6 6-4,99,214544,9,5,3,202458,3,3,2
23,1038,2021-04-29,6-4 6-3,75,202458,6,4,2,211651,4,3,4
24,1038,2021-04-29,6-2 6-3,63,214544,4,2,2,201499,0,1,3
25,1038,2021-04-29,6-1 3-6 6-3,108,202458,6,5,1,201520,5,8,2
26,1038,2021-04-29,6-4 7-5,109,211651,5,0,3,202505,4,6,5
27,1038,2021-04-29,6-1 4-0 RET,58,214544,2,3,2,210722,1,0,4
28,1038,2021-04-29,7-6(4) 7-6(2),119,201499,0,7,2,214096,1,0,1
29,520,2021-05-31,7-6(6) 6-3,110,206252,5,7,8,221103,4,2,7
30,520,2021-05-31,6-4 6-4,95,206289,5,5,2,216347,0,5,2
31,520,2021-05-31,6-7(2) 6-2 9-7,153,201499,5,4,2,214981,5,11,6
32,520,2021-05-31,7-5 4-6 8-6,146,214461,1,7,3,211651,2,5,9
33,520,2021-05-31,7-5 4-6 9-7,198,206252,5,5,5,206289,2,8,3
34,520,2021-05-31,7-5 6-3,94,201499,3,7,3,214461,1,4,3
35,520,2021-05-31,6-1 2-6 6-4,118,206252,2,7,5,201499,2,8,1
36,540,2021-06-28,6-1 6-3,66,202458,5,2,4,201548,2,5,2
37,540,2021-06-28,6-2 6-3,75,201493,1,7,4,214096,1,2,1
38,540,2021-06-28,6-2 6-2,81,201662,8,3,3,203530,0,6,3
39,540,2021-06-28,6-4 6-3,74,214544,3,6,5,202460,4,7,2
40,540,2021-06-28,6-3 7-6(3),87,202458,8,5,4,201493,0,3,3
41,540,2021-06-28,5-7 6-4 6-4,113,201662,14,0,4,214544,18,8,4
42,540,2021-06-28,6-3 6-7(4) 6-3,116,202458,7,1,7,201662,6,2,5
43,580,2022-01-17,6-2 6-0,63,202458,6,1,2,202468,1,4,3
44,580,2022-01-17,6-3 6-2,85,201619,11,7,1,206252,2,8,4
45,580,2022-01-17,7-5 6-1,88,203389,5,2,4,201427,2,5,0
46,580,2022-01-17,4-6 7-6(2) 6-3,181,216347,5,8,12,201466,5,7,4
47,580,2022-01-17,6-1 6-3,62,202458,5,2,0,201619,1,2,1
48,580,2022-01-17,6-4 6-1,78,203389,7,1,4,216347,1,4,4
49,580,2022-01-17,6-3 7-6(2),87,202458,10,2,3,203389,1,2,2
50,1038,2022-04-28,7-5 0-6 6-2,114,202460,5,2,3,202468,1,7,3
51,1038,2022-04-28,6-3 6-4,81,202468,0,2,1,213525,0,4,1
52,1038,2022-04-28,6-2 6-3,61,202460,5,2,1,206420,1,1,4
53,1038,2022-04-28,6-3 6-4,90,213525,4,2,2,211843,1,2,2
54,1038,2022-04-28,6-4 6-2,107,202468,3,4,2,204427,0,5,3
55,1038,2022-04-28,6-4 6-3,90,206420,3,8,1,216153,1,7,8
56,1038,2022-04-28,6-3 6-2,67,202460,2,3,1,201594,1,1,1
57,520,2022-05-23,6-3 6-2,78,216347,4,1,0,202468,2,6,1
58,520,2022-05-23,6-4 7-6(5),103,214082,0,3,3,206368,3,12,2
59,520,2022-05-23,6-2 6-7(3) 6-3,125,203354,1,6,7,220367,0,7,4
60,520,2022-05-23,7-5 6-2,102,221103,3,6,6,201585,0,4,1
61,520,2022-05-23,6-2 6-1,73,216347,1,0,2,214082,2,5,2
62,520,2022-05-23,6-3 6-1,75,221103,1,3,2,203354,0,5,4
63,520,2022-05-23,6-1 6-3,77,216347,1,0,0,221103,2,5,3
64,540,2022-06-27,4-6 6-2 6-3,111,214981,15,6,1,201548,1,4,1
65,540,2022-06-27,6-2 6-4,63,201594,3,7,1,216153,0,2,1
66,540,2022-06-27,3-6 6-1 6-1,107,202460,0,2,2,213631,0,3,1
67,540,2022-06-27,4-6 6-2 7-5,138,213583,4,6,7,215898,3,2,11
68,540,2022-06-27,6-3 6-3,76,214981,5,0,0,201594,0,5,9
69,540,2022-06-27,6-2 3-6 6-1,103,202460,4,1,2,213583,0,7,5
70,540,2022-06-27,3-6 6-2 6-2,108,214981,4,9,3,202460,4,2,1
